FaqCategoryFaqId,FaqId,FaqSortOrder,FaqQuestion,FaqAnswer,FaqDescription,FaqCategoryId,CategoryTitle,CategoryDescription,CategorySortOrder,RoleIds,DenyRoleIds,IsCommonlyAsked,ContentGroupIds,PortalId
44472,44638,1,"!@#$%^&*()_+)(*&UIOP{:LKM<>/.,l;'[]-09","<p>!@#$%^&*()_+)(*&UIOP{:LKM&lt;&gt;/.,l;'[]-09</p>","!@#$%^&*()_+)(*&UIOP{:LKM<>/.,l;'[]-09",18072,"!@#$%^&*()_+)(*&UIOP{:LKM<>/.,l;'[]-09","!@#$%^&*()_+)(*&UIOP{:LKM<>/.,l;'[]-09",15,,,False,",-1,",905
41274,41440,1,What is 401k benefits?,<p>401k Benefits is given to an employee whos.....</p>,401k,16476,401(k),test,5,,,True,",-1,",905
18377,18519,2,When am I eligible to contribute to the 401(k) plan?,"<p>You are eligible to contribute to the 401(k) plan immediately. Generally, summer interns and temporary colleagues are not eligible.</p>",123,6552,401(k),401(k),7,,,False,",-1,",905
18378,18520,3,How do I enroll in the 401(k) plan?,"<p>You can enroll any time. You can also call 1.800.345.2345, 24 hours a day, seven days a week, to enroll or you may speak with a Customer Service Representative by selecting zero. Customer Service Representatives are available Monday through Friday from 8:00 a.m. to 8:00 p.m. (ET)</p>",How do I enroll in the 401(k) plan?,6552,401(k),401(k),7,,,False,",-1,",905
18379,18521,4,How much can I contribute to my 401(k) plan?,"<p>You decide the amount you want to contribute – from 1 percent to 50 percent of your pay (including base, overtime and incentive) – on a pre-tax basis or on a post-tax basis as Roth contributions. Under IRS regulations, your pre-tax and Roth combined are limited to $18,000 in 2016. You are also eligible to make ""catch-up"" contributions if you will be at least age 50 in the calendar year and expect to reach IRS limits. IRS allows catch-up contributions up to $6,000 in 2016.</p>",How much can I contribute to my 401(k) plan?,6552,401(k),401(k),7,,,True,",-1,",905
18380,18522,5,When does my 401(k) plan balance become vested?,<p>Your right to the balance in your 401(k) plan account is called vesting. You are always 100 percent vested in your own contributions and the earnings on your contributions. You are 100 percent vested in your entire account balance – including the dollar for dollar matching contributions up to 6 percent of pay immediately.</p>,When does my 401(k) plan balance become vested?,6552,401(k),401(k),7,,,False,",-1,",905
18381,18523,6,Who is eligible for the additional non-elective contribution?,"<p>If you are colleague not participating in the Pension Plan (hired after January 1, 2009, you will receive a three percent matching contribution to your 401(k) account, (whether or not you are contributing). You will be vested in the non-elective contribution once you complete three years of service.</p><p><a href=""https://hrportal-qa.ehr.com/DesktopModules/admin/Dnn.PersonaBar/[Portal:Document:Documents/Documents%20(Rob%20Sec)/Aetna%20High%20Deductible%20detailed%20plan%20summary.pdf%20%7C8851e26a-96da-4840-bcce-49833ec410c7]"" target=""_blank"">Link to document</a></p>",Who is eligible for the additional non-elective contribution?,6552,401(k),401(k),7,,,False,",-1,",905
18382,18524,7,Can I get a loan or make a withdrawal from my 401(k) account?,"<p>While employed, you will have access to your money through loans and limited withdrawals. You may request a loan or withdrawal by calling 1.866.472.8234. However, because the plan is designed for long-term savings, certain restrictions apply.</p>",401(k) loan or withdrawal,6552,401(k),401(k),7,,,False,",-1,",905
18387,18529,1,Is financial help available for adoption proceedings?,Yes. Financial assistance is provided to full-time associates who are going through domestic or international adoption proceedings. &nbsp;,,6554,Adoption,Adoption,12,,,False,",-1,",905
18388,18530,2,How much will be paid toward adoption expenses?,"Eligible adoption expenses will be covered up to the maximum amount (currently $11,650) allowed under IRS regulations. Associates who are in the adoption process are also eligible for a $10,000 five-year forgivable subsidy in addition to the reimbursement amount.&nbsp;",,6554,Adoption,Adoption,12,,,False,",-1,",905
18389,18531,3,What expenses are covered?,"Eligible expenses include licensed adoption agency fees, legal and court costs, medical expenses for the birth mother, medical expenses of the child before adoption and post-adoption counseling for the child.",,6554,Adoption,Adoption,12,,,False,",-1,",905
18390,18532,4,How do I apply for adoption assistance?,To apply for adoption assistance you need to complete an Adoption Assistance Reimbursement Form available from the Human Resources Service Center and submit it along with itemized bills. The HR Service Center may request additional documentation of your expenses. You must request reimbursement within 90 days of incurring the expense. Reimbursements will be made directly to you.&nbsp;,,6554,Adoption,Adoption,12,,,False,",-1,",905
39275,39441,5,What happens when I use reusable content or data?,"<p>Reusable content:&nbsp;[Portal:Static:98a5ae35-fcfa-4d85-b6f0-bcb8ad5acfb0]</p><p>Reusable data token:&nbsp;[Portal:Data:System: Data Token,Vision Coverage|54b6dae4-061e-4814-92b8-4f51d37eb05e|N2]</p>",What happens when I use reusable content or data?,6554,Adoption,Adoption,12,,,False,",-1,",905
57318,57733,6,What is the adoption allowance for adopting Martian children?,"<p>Adoptions from children currently living on Mars are covered at the same $10,000 USD coverage, using current Martian dollar conversation rates. Please note, there is no additional allowance for ventilators needed in transit.&nbsp;</p>",Martian adoption,6554,Adoption,Adoption,12,,,False,",-1,",905
